tweet_id,tweet_text,dateTime,author_id,retweet_count,like_count,quote_count,reply_count,UserLocation,Tweet_Place,URLs,mentions,hashtags,sentiment
1466195305712570371,Christmas classic  boxtreeilkley christmas festiveseason chrimbo decorations classic ilkley yorkshire heritage winterwonderland cosy finedining michelin partytime privatedining   The Box Tree Restaurant ,2021-12-01 23:59:36+00:00,402741458,0,0,0,0,"Ilkley, West Yorkshire, UK","Ilkley, England",['https://t.co/KB6tfi86Mh'],[],"['boxtreeilkley', 'christmas', 'festiveseason', 'chrimbo', 'decorations', 'classic', 'ilkley', 'yorkshire', 'heritage', 'winterwonderland', 'cosy', 'finedining', 'michelin', 'partytime', 'privatedining']",positive
1466195091882655747, Pls retweet  If offering someone a boozy drink this Xmas and they decline  Don t say something like  oh go on  it s Christmas Them saying  no  can take more strength than I hope you never have to use  People hide alcoholism through shame  Please don t tempt  🙏,2021-12-01 23:58:45+00:00,52501403,0,0,0,0,Oxford; UK,"Oxford, England",[],['ThatKevinSmith'],[],positive
1466194962974969866, Pls retweet  If offering someone a boozy drink this Xmas and they decline  Don t say something like  oh go on  it s Christmas Them saying  no  can take more strength than I hope you never have to use  People hide alcoholism through shame  Please don t tempt  🙏,2021-12-01 23:58:14+00:00,52501403,0,0,0,0,Oxford; UK,"Oxford, England",[],['Kevfeige'],[],positive
1466194943668535300,Fuming  Large parts of the North were in Tier 3 from July last year  We didn’t see our families for MONTHS  My dad was on his own on Christmas Day coz we followed the rules  Fuck this government  ,2021-12-01 23:58:09+00:00,20038049,1,5,0,1,Manchester & MediaCity,"Manchester, England",['https://t.co/ux3KKxjuop'],[],[],positive
1466194280192614402, m1990   Everton wives   bring out the blue paint   Merry Christmas 😏🎅🤣,2021-12-01 23:55:31+00:00,439967373,0,1,0,0,liverpool,"Prescot, England",[],"['laura_m1990', 'nellyweather', 'scousehawkeye']",[],neutral
1466194270222798849, Pls retweet  If offering someone a boozy drink this Xmas and they decline  Don t say something like  oh go on  it s Christmas Them saying  no  can take more strength than I hope you never have to use  People hide alcoholism through shame  Please don t tempt  🙏,2021-12-01 23:55:29+00:00,52501403,0,0,0,0,Oxford; UK,"Oxford, England",[],['slimfitchacho'],[],positive
1466194034385428481, Pls retweet  If offering someone a boozy drink this Xmas and they decline  Don t say something like  oh go on  it s Christmas Them saying  no  can take more strength than I hope you never have to use  People hide alcoholism through shame  Please don t tempt  🙏,2021-12-01 23:54:33+00:00,52501403,0,0,0,0,Oxford; UK,"Oxford, England",[],['SarahMillican75'],[],positive
1466193790151143428, Pls retweet  If offering someone a boozy drink this Xmas and they decline  Don t say something like  oh go on  it s Christmas Them saying  no  can take more strength than I hope you never have to use  People hide alcoholism through shame  Please don t tempt  🙏,2021-12-01 23:53:34+00:00,52501403,0,0,0,0,Oxford; UK,"Oxford, England",[],['JeriLRyan'],[],positive
1466193547359666181,Pls retweet  If offering someone a boozy drink this Xmas and they decline  Don t say something like  oh go on  it s Christmas Them saying  no  can take more strength than I hope you never have to use  People hide alcoholism through shame  Please don t tempt them  🙏,2021-12-01 23:52:36+00:00,52501403,8,32,0,0,Oxford; UK,"Oxford, England",[],[],[],positive
1466193390651981824,Christmas tree of the day 🎄 ,2021-12-01 23:51:59+00:00,1286827569317322752,3,9,0,0,"Lytham St. Annes, England","Lytham St. Annes, England",['https://t.co/0Oruzaajmb'],[],[],neutral
